ID,Prob_DAE
99900001,1.0
99900002,1.0
99900003,1.0
99900004,1.1110372e-05
99900005,1.0
99900006,0.9989355
99900007,0.01525698
99900008,1.0
99900009,8.0970494e-05
99900010,4.9997136e-05
99900011,0.8279754
99900012,1.0
99900013,0.011044215
99900014,9.2075015e-06
99900015,5.174396e-05
99900016,0.03251906
99900017,4.2825053e-07
99900018,0.00012646372
99900019,0.9999651
99900020,0.06064529
99900021,1.5738745e-12
99900022,0.3820203
99900023,1.7223752e-05
99900024,1.0
99900025,0.0025752282
99900026,0.0024013824
99900027,1.0
99900028,1.0
99900029,6.762906e-05
99900030,0.004285342
99900031,0.9992411
99900032,1.0
99900033,1.0
99900034,1.0
99900035,1.0
99900036,0.9999999
99900037,0.9999988
99900038,1.0
99900039,0.055817977
99900040,2.5388443e-05
99900041,0.00346904
99900042,0.44846198
99900043,1.0
99900044,0.0011500174
99900045,2.017472e-11
99900046,0.004902546
99900047,0.9999908
99900048,1.0
99900049,4.4094672e-10
99900050,5.0952504e-08
99900051,1.0
99900052,0.0037305702
99900053,0.029684676
99900054,1.0
99900055,0.9999548
99900056,4.2728356e-05
99900057,9.006525e-05
99900058,1.0
99900059,0.9144927
99900060,0.0003176078
99900061,9.553484e-07
99900062,1.0
99900063,1.1154361e-07
99900064,1.0
99900065,0.9999931
99900066,8.5119555e-06
99900067,8.968301e-05
99900068,0.008140914
99900069,0.10020908
99900070,5.4015795e-06
99900071,0.0024393988
99900072,0.00019818722
99900073,1.0
99900074,1.0
99900075,0.9999994
99900076,0.9999976
99900077,0.9999957
99900078,8.277332e-06
99900079,3.6395167e-07
99900080,3.7494083e-05
99900081,1.0
99900082,5.5105623e-08
99900083,7.7572615e-08
99900084,0.0001019033
99900085,0.14036913
99900086,1.0
99900087,2.9529104e-07
99900088,2.7618205e-07
99900089,1.0
99900090,1.0
99900091,1.2563919e-09
99900092,0.08712614
99900093,0.14552805
99900094,9.542652e-06
99900095,0.4835529
99900096,1.0
99900097,2.3743967e-09
99900098,0.9999982
99900099,1.0849099e-08
99900100,1.909333e-10
99900101,0.99999964
99900102,0.9352174
99900103,0.99973196
99900104,1.0
99900105,0.99989617
99900106,7.65117e-06
99900107,1.2912568e-05
99900108,0.9999981
99900109,1.0
99900110,1.0
99900111,1.0
99900112,1.0
99900113,1.0
99900114,8.7010586e-11
99900115,1.0
99900116,0.9999993
99900117,6.88054e-07
99900118,0.88915694
99900119,0.99999964
99900120,3.7100474e-06
99900121,0.0003121938
99900122,3.2033034e-07
99900123,1.0
99900124,1.0
